pick,expected_xrapm_first5_avg_pick_ev,expected_xrapm_peak_pick_ev,raw_mean_xrapm_avg_ev_target,raw_median_xrapm_avg_ev_target,raw_mean_xrapm_peak_ev_target,raw_median_xrapm_peak_ev_target,mature_pick_count,mature_count,no_xrapm_signal_count,no_xrapm_signal_rate,expected_prob_bust_or_no_translation,expected_prob_rotation_plus,expected_prob_starter_plus,expected_prob_star,chart_x_pick,chart_y_expected_xrapm_first5_avg,chart_y_expected_xrapm_peak
1,0.654722222222222,2.0666666666666664,0.654722222222222,1.1325,2.0666666666666664,2.8,18.0,18,0,0.0,0.2352941176470588,0.7647058823529411,0.7058823529411765,0.5882352941176471,1,0.654722222222222,2.0666666666666664
2,-0.1025925925925925,1.3592592592592594,-0.5764814814814814,-1.3199999999999998,0.8500000000000001,0.3,18.0,18,0,0.0,0.3225806451612903,0.6774193548387096,0.5161290322580645,0.2903225806451613,2,-0.1025925925925925,1.3592592592592594
3,-0.1025925925925925,1.3592592592592594,0.3553703703703703,0.81,1.8666666666666667,1.9,18.0,18,0,0.0,0.3225806451612903,0.6774193548387096,0.5161290322580645,0.2903225806451613,3,-0.1025925925925925,1.3592592592592594
4,-0.1025925925925925,1.3592592592592594,-0.0866666666666666,-0.1899999999999999,1.3611111111111112,1.4,18.0,18,0,0.0,0.3529411764705882,0.6470588235294118,0.3823529411764705,0.2352941176470588,4,-0.1025925925925925,1.3592592592592594
5,-0.846712962962963,0.7555555555555554,-0.8717592592592592,-0.855,0.7555555555555554,0.25,18.0,18,0,0.0,0.4375,0.5625,0.3823529411764705,0.2352941176470588,5,-0.846712962962963,0.7555555555555554
6,-0.846712962962963,0.4805555555555555,-0.8216666666666667,-0.9225,0.3888888888888889,0.5,18.0,18,0,0.0,0.4375,0.5625,0.2560975609756097,0.1020408163265306,6,-0.846712962962963,0.4805555555555555
7,-1.0491666666666668,0.4805555555555555,-1.0491666666666668,-1.2399999999999998,0.5722222222222223,0.25,18.0,18,0,0.0,0.5294117647058824,0.4705882352941176,0.2560975609756097,0.1020408163265306,7,-1.0491666666666668,0.4805555555555555
8,-1.203055555555555,0.0407407407407407,-1.203055555555555,-0.9600000000000002,0.0166666666666666,-0.05,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.2560975609756097,0.1020408163265306,8,-1.203055555555555,0.0407407407407407
9,-1.344513888888889,0.0407407407407407,-1.3750000000000002,-1.3575000000000002,0.0499999999999999,-0.15,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.2560975609756097,0.0923076923076923,9,-1.344513888888889,0.0407407407407407
10,-1.344513888888889,0.0407407407407407,-1.3762962962962964,-1.41,0.0555555555555555,0.0,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.2560975609756097,0.0923076923076923,10,-1.344513888888889,0.0407407407407407
11,-1.344513888888889,-0.0638888888888889,-1.6858333333333333,-1.985,-0.4611111111111111,-1.0,18.0,18,1,0.0555555555555555,0.5652173913043478,0.4347826086956521,0.21875,0.0923076923076923,11,-1.344513888888889,-0.0638888888888889
12,-1.344513888888889,-0.0638888888888889,-0.940925925925926,-0.8933333333333333,0.3333333333333332,0.2,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.21875,0.0923076923076923,12,-1.344513888888889,-0.0638888888888889
13,-1.5585185185185184,-0.1555555555555555,-1.5670370370370368,-1.625,-0.1611111111111111,-0.15,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.1975308641975308,0.0864197530864197,13,-1.5585185185185184,-0.1555555555555555
