slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,2,feel_iq_passing + shooting,438,0.1400875231258735,-0.04940215977101235,0.3287671232876712,0.5136986301369864,0.4863013698630137,0.3356164383561644,0.052579743908197196,-0.012617739836322361,0.011944940771623336,Nikola Jokić | Draymond Green | Kawhi Leonard | Stephen Curry | Franz Wagner
xRAPM historical mature,positive,2,feel_iq_passing + creation_handle,216,0.14212130332521508,0.1115303799115278,0.3287037037037037,0.4861111111111111,0.5138888888888888,0.3611111111111111,0.05461352410753878,-0.012681159420289856,0.03743961352657005,Kawhi Leonard | Stephen Curry | Immanuel Quickley | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,feel_iq_passing + finishing_touch,244,0.024161290949058466,-0.0575859788359787,0.3114754098360656,0.5163934426229508,0.48360655737704916,0.319672131147541,-0.06334648826861783,-0.02990945328792799,-0.0039993664370000515,Kawhi Leonard | Franz Wagner | Mitchell Robinson | Desmond Bane | Joel Embiid
xRAPM historical mature,positive,2,feel_iq_passing + athleticism_tools,460,0.15788205358100033,-0.00492575524833575,0.31521739130434784,0.5065217391304347,0.4934782608695652,0.3391304347826087,0.07037427436332402,-0.026167471819645738,0.015458937198067624,Draymond Green | Kawhi Leonard | Herbert Jones | Stephen Curry | Franz Wagner
xRAPM historical mature,positive,2,feel_iq_passing + upside_tools,206,0.07867034812383042,-0.00492575524833575,0.2961165048543689,0.5048543689320388,0.49514563106796117,0.3300970873786408,-0.008837431093845882,-0.045268358269624664,0.00642558979409974,Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Dillon Brooks | Aaron Wiggins
xRAPM historical mature,positive,2,feel_iq_passing + defense,380,0.19463381720333509,0.09384259259259295,0.29473684210526313,0.4868421052631579,0.5131578947368421,0.3631578947368421,0.10712603798565878,-0.046648021018730446,0.03948639715230107,Kawhi Leonard | Herbert Jones | Stephen Curry | Franz Wagner | Immanuel Quickley
xRAPM historical mature,positive,2,feel_iq_passing + motor_competitiveness,339,0.1410188461304319,-0.0012037037037035,0.30973451327433627,0.5014749262536873,0.49852507374631266,0.3303834808259587,0.05351106691275559,-0.03165034984965731,0.006711983241417641,Nikola Jokić | Draymond Green | Kawhi Leonard | Stephen Curry | Franz Wagner
xRAPM historical mature,positive,2,feel_iq_passing + size_frame,326,0.10002627401051517,0.026423131080389,0.3067484662576687,0.4938650306748466,0.5061349693251533,0.3220858895705521,0.012518494792838869,-0.03463639686632486,-0.0015856080139889372,Stephen Curry | Franz Wagner | Paul George | Mitchell Robinson | Desmond Bane
xRAPM historical mature,positive,2,feel_iq_passing + production_stats,359,0.1955730610182202,0.0604761904761903,0.30362116991643456,0.48746518105849584,0.5125348189415042,0.35097493036211697,0.1080652818005439,-0.03776369320755901,0.02730343277757591,Draymond Green | Herbert Jones | Stephen Curry | Franz Wagner | Immanuel Quickley
xRAPM historical mature,positive,2,feel_iq_passing + risk_uncertainty,17,0.5753785340192273,0.2766269841269841,0.11764705882352941,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.48787075480155107,-0.22373780430046417,0.08809320829781186,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical mature,positive,2,feel_iq_passing + intel_consensus,26,0.22817351044798778,-0.2036021505376343,0.2692307692307692,0.5384615384615384,0.46153846153846156,0.34615384615384615,0.14066573123031148,-0.07215409389322436,0.02248234856930509,Kyle Anderson | Jusuf Nurkić | Donte DiVincenzo | CJ McCollum | Cameron Johnson
