slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,risk,2,feel_iq_passing + shooting,333,-0.06382719139215776,-0.2254320987654323,0.3813813813813814,0.5795795795795796,0.42042042042042044,0.29429429429429427,-0.15133497060983406,0.039996518257387814,-0.02937720329024679,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Jonny Flynn
xRAPM historical mature,risk,2,feel_iq_passing + creation_handle,163,-0.2200534821872818,-0.2595121951219514,0.4233128834355828,0.588957055214724,0.4110429447852761,0.27607361963190186,-0.3075612614049581,0.08192802031158924,-0.0475978779526392,Kevin Knox II | Josh Christopher | Jonny Flynn | Patrick Williams | Travis Leslie
xRAPM historical mature,risk,2,feel_iq_passing + finishing_touch,124,-0.009029698056796855,-0.0650620839733744,0.3548387096774194,0.5161290322580645,0.4838709677419355,0.29838709677419356,-0.09653747727447315,0.013453846553425797,-0.025284400810347496,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Patrick Williams
xRAPM historical mature,risk,2,feel_iq_passing + athleticism_tools,346,0.016366117796006954,-0.19951219512195115,0.3699421965317919,0.5606936416184971,0.4393063583815029,0.3179190751445087,-0.07114166142166935,0.028557333407798313,-0.005752422440032379,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Jonny Flynn
xRAPM historical mature,risk,2,feel_iq_passing + upside_tools,125,0.0022622667795000827,-0.1171031746031743,0.36,0.552,0.448,0.312,-0.08524551243817621,0.01861513687600641,-0.011671497584541057,James Wiseman | Kevin Knox II | Fab Melo | Elijah Hughes | Patrick Williams
xRAPM historical mature,risk,2,feel_iq_passing + defense,270,-0.004872330892957267,-0.21051550616312603,0.3888888888888889,0.5666666666666667,0.43333333333333335,0.3037037037037037,-0.09238011011063357,0.04750402576489532,-0.01996779388083736,James Wiseman | Kevin Knox II | Craig Brackins | Jonny Flynn | Fab Melo
xRAPM historical mature,risk,2,feel_iq_passing + motor_competitiveness,185,-0.10464570528220817,-0.2336021505376344,0.4,0.572972972972973,0.42702702702702705,0.3081081081081081,-0.19215348449988445,0.058615136876006446,-0.015563389476432932,James Wiseman | Kevin Knox II | Craig Brackins | Jonny Flynn | Fab Melo
xRAPM historical mature,risk,2,feel_iq_passing + size_frame,146,-0.0872291223039448,-0.22680879131819995,0.3904109589041096,0.5753424657534246,0.4246575342465753,0.3150684931506849,-0.1747369015216211,0.04902609578011602,-0.008603004433856143,James Wiseman | Kevin Knox II | Jonny Flynn | Fab Melo | Elijah Hughes
xRAPM historical mature,risk,2,feel_iq_passing + production_stats,154,-0.1886997136860566,-0.26249419279907094,0.3961038961038961,0.6038961038961039,0.3961038961038961,0.2662337662337662,-0.2762074929037329,0.05471903297990255,-0.057437731350774845,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Fab Melo
xRAPM historical mature,risk,2,feel_iq_passing + injury_medical,46,0.08005666220786825,-0.08952120739005989,0.34782608695652173,0.5217391304347826,0.4782608695652174,0.34782608695652173,-0.00745111700980805,0.0064412238325281534,0.024154589371980673,James Wiseman | Mfiondu Kabengele | Brice Johnson | Victor Claver | Demetrius Jackson
xRAPM historical mature,risk,2,feel_iq_passing + risk_uncertainty,87,0.030760464656965514,-0.101155913978495,0.3448275862068966,0.5402298850574713,0.45977011494252873,0.28735632183908044,-0.05674731456071079,0.0034427230829029987,-0.036315175745460615,James Wiseman | Fab Melo | Tyler Lydon | Mfiondu Kabengele | Emmanuel Mudiay
xRAPM historical mature,risk,2,feel_iq_passing + intel_consensus,15,-0.41351683394458116,-0.7136021505376343,0.4666666666666667,0.6,0.4,0.26666666666666666,-0.5010246131622574,0.1252818035426731,-0.057004830917874394,Fab Melo | Patrick Williams | Elliot Williams | Arnett Moultrie | Glen Rice
xRAPM historical mature,risk,2,shooting + creation_handle,224,-0.23429140953997402,-0.2548067076292881,0.39285714285714285,0.5758928571428571,0.42410714285714285,0.2544642857142857,-0.32179918875765035,0.05147227973314927,-0.06920721187025536,Kevin Knox II | Jahlil Okafor | Josh Jackson | Josh Christopher | Royce White
xRAPM historical mature,risk,2,shooting + finishing_touch,177,0.0921055369649705,0.0604761904761903,0.3220338983050847,0.480225988700565,0.519774011299435,0.3220338983050847,0.004597757747294193,-0.019350964818908856,-0.0016375992794563365,James Wiseman | Kevin Knox II | Jahlil Okafor | Craig Brackins | Fab Melo
xRAPM historical mature,risk,2,shooting + athleticism_tools,482,0.046987314143685836,-0.16471335597057155,0.34439834024896265,0.5435684647302904,0.45643153526970953,0.31742738589211617,-0.040520465073990465,0.0030134771249690773,-0.006244111692424892,James Wiseman | Kevin Knox II | Jahlil Okafor | Craig Brackins | Josh Jackson
