slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,3,feel_iq_passing + upside_tools + risk_uncertainty,14,0.7470752947104222,0.42281746031746015,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.659567515492746,-0.2699562916954221,0.10489993098688749,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,upside_tools + defense + risk_uncertainty,14,0.7470752947104222,0.42281746031746015,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.659567515492746,-0.2699562916954221,0.10489993098688749,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,feel_iq_passing + size_frame + risk_uncertainty,15,0.6777896754157944,0.5690079365079361,0.13333333333333333,0.4,0.6,0.4666666666666667,0.5902818961981181,-0.20805152979066024,0.14299516908212562,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical mature,positive,3,feel_iq_passing + motor_competitiveness + risk_uncertainty,15,0.6773531674792866,0.2766269841269841,0.06666666666666667,0.4666666666666667,0.5333333333333333,0.4,0.5898453882616104,-0.2747181964573269,0.07632850241545897,Bruce Brown | Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,feel_iq_passing + defense + risk_uncertainty,16,0.6351649238769104,0.42281746031746015,0.125,0.4375,0.5625,0.4375,0.5476571446592341,-0.21638486312399358,0.11382850241545894,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical top30,positive,3,feel_iq_passing + motor_competitiveness + risk_uncertainty,13,0.6326088534481306,0.2766269841269841,0.0,0.46153846153846156,0.5384615384615384,0.38461538461538464,0.5521782256526451,-0.3208955223880597,0.05376961347110604,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical mature,positive,3,upside_tools + production_stats + risk_uncertainty,15,0.6214633967561826,0.2766269841269841,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.5339556175385063,-0.20805152979066024,0.07632850241545897,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,upside_tools + size_frame + risk_uncertainty,15,0.5764214156650211,0.2766269841269841,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.48891363644734487,-0.20805152979066024,0.07632850241545897,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,feel_iq_passing + shooting + risk_uncertainty,16,0.5757766963636828,0.13621031746031745,0.125,0.5,0.5,0.4375,0.4882689171460065,-0.21638486312399358,0.11382850241545894,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical mature,positive,2,feel_iq_passing + risk_uncertainty,17,0.5753785340192273,0.2766269841269841,0.11764705882352941,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.48787075480155107,-0.22373780430046417,0.08809320829781186,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical mature,positive,3,feel_iq_passing + athleticism_tools + risk_uncertainty,17,0.5753785340192273,0.2766269841269841,0.11764705882352941,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.48787075480155107,-0.22373780430046417,0.08809320829781186,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
