slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical top15,risk,3,creation_handle + finishing_touch + upside_tools,14,-1.1309529600370614,-0.7412852022529443,0.5,0.5714285714285714,0.42857142857142855,0.07142857142857142,-1.2457050678440633,0.2027027027027027,-0.2799227799227799,Kevin Knox II | Jahlil Okafor | Patrick Williams | Hasheem Thabeet | Wesley Johnson
xRAPM historical mature,risk,3,upside_tools + motor_competitiveness + intel_consensus,10,-1.0446115378050862,-1.13484126984127,0.6,0.7,0.3,0.1,-1.1321193170227626,0.2586151368760064,-0.22367149758454105,Fab Melo | Patrick Williams | Diamond Stone | Arnett Moultrie | Andrew Wiggins
xRAPM historical top15,risk,3,creation_handle + upside_tools + production_stats,15,-1.0168613182137967,-0.1171031746031743,0.4,0.6,0.4,0.13333333333333333,-1.1316134260207986,0.10270270270270271,-0.21801801801801804,Kevin Knox II | Jahlil Okafor | Patrick Williams | Thomas Robinson | Wesley Johnson
xRAPM historical top15,risk,3,finishing_touch + upside_tools + production_stats,18,-1.0089353464584088,-0.14722222222222212,0.4444444444444444,0.6111111111111112,0.3888888888888889,0.05555555555555555,-1.1236874542654107,0.1471471471471471,-0.29579579579579585,James Wiseman | Kevin Knox II | Jahlil Okafor | Patrick Williams | Wesley Johnson
xRAPM historical top15,risk,3,creation_handle + finishing_touch + production_stats,16,-0.8571231973053923,-0.49488095238095225,0.5,0.5625,0.4375,0.1875,-0.9718753051123944,0.2027027027027027,-0.16385135135135137,Kevin Knox II | Jahlil Okafor | Patrick Williams | Jalen Green | Wesley Johnson
xRAPM historical top15,risk,3,upside_tools + motor_competitiveness + production_stats,20,-0.8438668412648594,-0.29830768486256276,0.45,0.6,0.4,0.1,-0.9586189490718615,0.1527027027027027,-0.25135135135135134,James Wiseman | Kevin Knox II | Patrick Williams | Jabari Parker | Marvin Bagley III
xRAPM historical top30,risk,3,creation_handle + finishing_touch + upside_tools,25,-0.8252592688338555,-0.5571031746031738,0.48,0.6,0.4,0.12,-0.905689896629341,0.1591044776119403,-0.2108457711442786,Kevin Knox II | Jahlil Okafor | Patrick Williams | Hasheem Thabeet | Vernon Carey Jr.
xRAPM historical top15,risk,2,upside_tools + production_stats,30,-0.8076349004916438,-0.19128968253968237,0.4,0.6,0.4,0.1,-0.9223870082986458,0.10270270270270271,-0.25135135135135134,James Wiseman | Kevin Knox II | Jahlil Okafor | Patrick Williams | Thomas Robinson
xRAPM historical top15,risk,3,athleticism_tools + upside_tools + production_stats,30,-0.8076349004916438,-0.19128968253968237,0.4,0.6,0.4,0.1,-0.9223870082986458,0.10270270270270271,-0.25135135135135134,James Wiseman | Kevin Knox II | Jahlil Okafor | Patrick Williams | Thomas Robinson
xRAPM historical top30,risk,3,finishing_touch + upside_tools + production_stats,31,-0.7847413076073546,-0.5412037037037041,0.45161290322580644,0.6129032258064516,0.3870967741935484,0.16129032258064516,-0.8651719354028402,0.13071738083774675,-0.16955544856363344,James Wiseman | Kevin Knox II | Jahlil Okafor | Fab Melo | Patrick Williams
xRAPM historical top15,risk,3,shooting + upside_tools + production_stats,29,-0.7836151953635505,-0.1171031746031743,0.3793103448275862,0.5862068965517241,0.41379310344827586,0.10344827586206896,-0.8983673031705526,0.08201304753028887,-0.24790307548928242,James Wiseman | Kevin Knox II | Jahlil Okafor | Patrick Williams | Thomas Robinson
