"player","player_key","draft_year","pick","source_site","dataset","status_for_ui","surplus","phrase_sources","source_row_count"
"Cam Carr","cam carr","2026","24.0","sbnation","2026 projections","future_prediction","0.3883674602870616","","1"
"Zuby Ejiofor","zuby ejiofor","2026","30.667","espn|nbadraft_net|sbnation","2026 projections","future_prediction","0.2982511939703835","nbadraft_net","3"
"Amari Allen","amari allen","2026","32.0","espn","2026 projections","future_prediction","0.262342725189343","","1"
"Luigi Suigo","luigi suigo","2026","32.0","espn|nbadraft_net","2026 projections","future_prediction","0.4168515266586707","nbadraft_net","2"
"Matt Able","matt able","2026","33.0","espn","2026 projections","future_prediction","0.2538937777508597","","1"
"Tounde Yessoufou","tounde yessoufou","2026","34.0","espn","2026 projections","future_prediction","0.2451474971905746","","1"
"Tyler Tanner","tyler tanner","2026","35.0","espn","2026 projections","future_prediction","0.2361206380921979","","1"
"Malachi Moreno","malachi moreno","2026","36.0","espn","2026 projections","future_prediction","0.2268285775906117","","1"
"Pavle Backo","pavle backo","2026","37.0","nbadraft_net","2026 projections","future_prediction","0.5132837037219747","","1"
"Milan Momcilovic","milan momcilovic","2026","38.0","espn","2026 projections","future_prediction","0.2075043364224283","","1"
"Keyshawn Hall","keyshawn hall","2026","39.0","nbadraft_net","2026 projections","future_prediction","0.6082072802855011","nbadraft_net","1"
"Flory Bidunga","flory bidunga","2026","42.0","espn","2026 projections","future_prediction","0.1662279002792502","","1"
"Ryan Conwell","ryan conwell","2026","44.0","espn|nbadraft_net","2026 projections","future_prediction","0.3497913845980233","nbadraft_net","2"
"Jeremy Fears Jr.","jeremy fears","2026","47.0","espn","2026 projections","future_prediction","0.1104933206998565","","1"
"Francesco Ferrari","francesco ferrari","2026","48.0","nbadraft_net","2026 projections","future_prediction","0.3948702153589504","","1"
"Rueben Chinyelu","rueben chinyelu","2026","48.0","espn","2026 projections","future_prediction","0.0988719739827886","","1"
"Tre White","tre white","2026","49.0","nbadraft_net","2026 projections","future_prediction","0.3831057449569138","","1"
"Felix Okpara","felix okpara","2026","49.5","espn|nbadraft_net","2026 projections","future_prediction","0.2291556616412531","","2"
"Andrej Stojakovic","andrej stojakovic","2026","50.0","espn","2026 projections","future_prediction","0.0752055783255923","","1"
"Izaiyah Nelson","izaiyah nelson","2026","50.0","espn|nbadraft_net","2026 projections","future_prediction","0.2789014695565507","nbadraft_net","2"
"Richie Saunders","richie saunders","2026","52.0","espn|nbadraft_net","2026 projections","future_prediction","0.1816067239768639","nbadraft_net","2"
"Billy Richmond III","billy richmond","2026","53.0","espn","2026 projections","future_prediction","0.0387269564200117","","1"
"Tobi Lawal","tobi lawal","2026","53.0","nbadraft_net","2026 projections","future_prediction","0.4494369837291144","nbadraft_net","1"
"Rafael Castro","rafael castro","2026","54.0","nbadraft_net","2026 projections","future_prediction","0.4370356857104595","nbadraft_net","1"
"Emanuel Sharp","emanuel sharp","2026","57.0","espn|nbadraft_net","2026 projections","future_prediction","0.1937600100155554","nbadraft_net","2"
"Tobe Awaka","tobe awaka","2026","57.0","nbadraft_net","2026 projections","future_prediction","0.3991660967195086","nbadraft_net","1"
"Kylan Boswell","kylan boswell","2026","58.0","espn","2026 projections","future_prediction","-0.0243763057046996","","1"
"Nick Martinelli","nick martinelli","2026","58.0","espn|nbadraft_net","2026 projections","future_prediction","0.1809293517649409","nbadraft_net","2"
"Bruce Thornton","bruce thornton","2026","59.0","espn","2026 projections","future_prediction","-0.0373073931896267","","1"
"Dash Daniels","dash daniels","2025","21.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.2865144270128043","nbadraft_net","1"
"Keyshawn Hall","keyshawn hall","2025","31.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","-0.3447135976426998","nbadraft_net","1"
"PJ Haggerty","pj haggerty","2025","32.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.8812444961670175","nbadraft_net","1"
"Ryan Conwell","ryan conwell","2025","35.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.9930900316089752","nbadraft_net","1"
"Mouhamed Faye","mouhamed faye","2025","41.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","-0.2259493339600036","nbadraft_net","1"
"Zuby Ejiofor","zuby ejiofor","2025","42.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.355168876140528","nbadraft_net","1"
"Malique Lewis","malique lewis","2025","45.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.1280336439965701","nbadraft_net","1"
"Ognjen Srzentic","ognjen srzentic","2025","46.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","-0.1495323107375165","nbadraft_net","1"
"Kylan Boswell","kylan boswell","2025","50.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","-0.2435832452029157","nbadraft_net","1"
"Tyon Grant-Foster","tyon grant foster","2025","54.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.9513797617508172","nbadraft_net","1"
"Darrion Williams","darrion williams","2025","58.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","-0.7324459453927111","nbadraft_net","1"
"Xaivian Lee","xaivian lee","2025","60.0","nbadraft_net","2022-25 actual-to-date/projection","partial_recent_projection","0.7358284331367891","nbadraft_net","1"
"Jalen Hood-Schifino","jalen hood schifino","2023","17.0","espn","2022-25 actual-to-date/projection","actual_through_2_seasons","-3.052222222222222","","1"
"Carsen Edwards","carsen edwards","2019","33.0","nbadraft_net","Historical","historical_mature","-0.799512195121951","nbadraft_net","1"
