input_player,input_group,intended_draft_year,player_key
Cam Carr,2026 projections,2026,cam carr
Zuby Ejiofor,2026 projections,2026,zuby ejiofor
Amari Allen,2026 projections,2026,amari allen
Luigi Suigo,2026 projections,2026,luigi suigo
Matt Able,2026 projections,2026,matt able
Tounde Yessoufou,2026 projections,2026,tounde yessoufou
Tyler Tanner,2026 projections,2026,tyler tanner
Malachi Moreno,2026 projections,2026,malachi moreno
Pavle Backo,2026 projections,2026,pavle backo
Milan Momcilovic,2026 projections,2026,milan momcilovic
Keyshawn Hall,2026 projections,2026,keyshawn hall
Flory Bidunga,2026 projections,2026,flory bidunga
Ryan Conwell,2026 projections,2026,ryan conwell
Jeremy Fears Jr.,2026 projections,2026,jeremy fears
Francesco Ferrari,2026 projections,2026,francesco ferrari
Rueben Chinyelu,2026 projections,2026,rueben chinyelu
Tre White,2026 projections,2026,tre white
Felix Okpara,2026 projections,2026,felix okpara
Andrej Stojakovic,2026 projections,2026,andrej stojakovic
Izaiyah Nelson,2026 projections,2026,izaiyah nelson
Richie Saunders,2026 projections,2026,richie saunders
Billy Richmond III,2026 projections,2026,billy richmond
Tobi Lawal,2026 projections,2026,tobi lawal
Rafael Castro,2026 projections,2026,rafael castro
Emanuel Sharp,2026 projections,2026,emanuel sharp
Tobe Awaka,2026 projections,2026,tobe awaka
Kylan Boswell,2026 projections,2026,kylan boswell
Nick Martinelli,2026 projections,2026,nick martinelli
Bruce Thornton,2026 projections,2026,bruce thornton
Dash Daniels,2022-25 actual-to-date/projection,,dash daniels
Keyshawn Hall,2022-25 actual-to-date/projection,,keyshawn hall
PJ Haggerty,2022-25 actual-to-date/projection,,pj haggerty
Ryan Conwell,2022-25 actual-to-date/projection,,ryan conwell
Mouhamed Faye,2022-25 actual-to-date/projection,,mouhamed faye
Zuby Ejiofor,2022-25 actual-to-date/projection,,zuby ejiofor
Malique Lewis,2022-25 actual-to-date/projection,,malique lewis
Ognjen Srzentic,2022-25 actual-to-date/projection,,ognjen srzentic
Kylan Boswell,2022-25 actual-to-date/projection,,kylan boswell
Tyon Grant-Foster,2022-25 actual-to-date/projection,,tyon grant foster
Darrion Williams,2022-25 actual-to-date/projection,,darrion williams
Xaivian Lee,2022-25 actual-to-date/projection,,xaivian lee
Jalen Hood-Schifino,2022-25 actual-to-date/projection,,jalen hood schifino
Carsen Edwards,Historical,,carsen edwards
