input_group,intended_draft_year,input_player,player_key,ui_draft_years,ui_source_sites,ui_target_lenses,ui_statuses,available_scouting_sentence_count,not_discussed_sentence_count,manual_source_site,manual_source_url,manual_report_text_or_sentence,manual_trait_family,manual_trait_quality,manual_notes
2026 projections,2026,Amari Allen,amari allen,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Luigi Suigo,luigi suigo,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,4,4,,,,,,
2026 projections,2026,Tyler Tanner,tyler tanner,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Malachi Moreno,malachi moreno,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Pavle Backo,pavle backo,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Milan Momcilovic,milan momcilovic,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Keyshawn Hall,keyshawn hall,2025|2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,3,3,,,,,,
2026 projections,2026,Flory Bidunga,flory bidunga,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Ryan Conwell,ryan conwell,2025|2026,espn|nbadraft_net|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,3,3,,,,,,
2026 projections,2026,Jeremy Fears Jr.,jeremy fears,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Francesco Ferrari,francesco ferrari,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Rueben Chinyelu,rueben chinyelu,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Tre White,tre white,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Felix Okpara,felix okpara,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Andrej Stojakovic,andrej stojakovic,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Izaiyah Nelson,izaiyah nelson,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Richie Saunders,richie saunders,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Billy Richmond III,billy richmond,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
2026 projections,2026,Tobi Lawal,tobi lawal,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Rafael Castro,rafael castro,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Emanuel Sharp,emanuel sharp,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Tobe Awaka,tobe awaka,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Kylan Boswell,kylan boswell,2025|2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,1,1,,,,,,
2026 projections,2026,Nick Martinelli,nick martinelli,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,2,2,,,,,,
2026 projections,2026,Bruce Thornton,bruce thornton,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0,0,,,,,,
