input_group,intended_draft_year,input_player,player_key,ui_rows_found,ui_draft_years,ui_source_sites,ui_target_lenses,ui_statuses,positive_bucket_probability_mean,negative_bucket_probability_mean,recommended_phrase_tone,phrase_tone_score_from_available_sentences,manual_update_needed,available_scouting_sentence_count,usable_phrase_sentence_count,positive_phrase_count,negative_phrase_count,mixed_phrase_count,translation_caveat_count,true_negative_count,not_discussed_sentence_count,phrase_player_names,phrase_source_sites,phrase_source_groups,source_urls,trait_phrases_any,input_player_names,phrase_feel_iq_passing_all,phrase_feel_iq_passing_positive,phrase_feel_iq_passing_negative,phrase_feel_iq_passing_mixed,phrase_feel_iq_passing_not_discussed,phrase_feel_iq_passing_translation_caveat,phrase_feel_iq_passing_true_negative,phrase_shooting_all,phrase_shooting_positive,phrase_shooting_negative,phrase_shooting_mixed,phrase_shooting_not_discussed,phrase_shooting_translation_caveat,phrase_shooting_true_negative,phrase_creation_handle_all,phrase_creation_handle_positive,phrase_creation_handle_negative,phrase_creation_handle_mixed,phrase_creation_handle_not_discussed,phrase_creation_handle_translation_caveat,phrase_creation_handle_true_negative,phrase_finishing_touch_all,phrase_finishing_touch_positive,phrase_finishing_touch_negative,phrase_finishing_touch_mixed,phrase_finishing_touch_not_discussed,phrase_finishing_touch_translation_caveat,phrase_finishing_touch_true_negative,phrase_athleticism_tools_all,phrase_athleticism_tools_positive,phrase_athleticism_tools_negative,phrase_athleticism_tools_mixed,phrase_athleticism_tools_not_discussed,phrase_athleticism_tools_translation_caveat,phrase_athleticism_tools_true_negative,phrase_upside_tools_all,phrase_upside_tools_positive,phrase_upside_tools_negative,phrase_upside_tools_mixed,phrase_upside_tools_not_discussed,phrase_upside_tools_translation_caveat,phrase_upside_tools_true_negative,phrase_defense_all,phrase_defense_positive,phrase_defense_negative,phrase_defense_mixed,phrase_defense_not_discussed,phrase_defense_translation_caveat,phrase_defense_true_negative,phrase_motor_competitiveness_all,phrase_motor_competitiveness_positive,phrase_motor_competitiveness_negative,phrase_motor_competitiveness_mixed,phrase_motor_competitiveness_not_discussed,phrase_motor_competitiveness_translation_caveat,phrase_motor_competitiveness_true_negative,phrase_size_frame_all,phrase_size_frame_positive,phrase_size_frame_negative,phrase_size_frame_mixed,phrase_size_frame_not_discussed,phrase_size_frame_translation_caveat,phrase_size_frame_true_negative,phrase_production_stats_all,phrase_production_stats_positive,phrase_production_stats_negative,phrase_production_stats_mixed,phrase_production_stats_not_discussed,phrase_production_stats_translation_caveat,phrase_production_stats_true_negative,phrase_injury_medical_all,phrase_injury_medical_positive,phrase_injury_medical_negative,phrase_injury_medical_mixed,phrase_injury_medical_not_discussed,phrase_injury_medical_translation_caveat,phrase_injury_medical_true_negative,phrase_risk_uncertainty_all,phrase_risk_uncertainty_positive,phrase_risk_uncertainty_negative,phrase_risk_uncertainty_mixed,phrase_risk_uncertainty_not_discussed,phrase_risk_uncertainty_translation_caveat,phrase_risk_uncertainty_true_negative,phrase_intel_consensus_all,phrase_intel_consensus_positive,phrase_intel_consensus_negative,phrase_intel_consensus_mixed,phrase_intel_consensus_not_discussed,phrase_intel_consensus_translation_caveat,phrase_intel_consensus_true_negative,phrase_other_all,phrase_other_positive,phrase_other_negative,phrase_other_mixed,phrase_other_not_discussed,phrase_other_translation_caveat,phrase_other_true_negative,manual_source_site,manual_source_url,manual_report_text_or_sentence,manual_trait_family,manual_trait_quality,manual_notes,ui_phrase_source_sites_existing
2026 projections,2026,Cam Carr,cam carr,2,2026,sbnation,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.4186926723940029,0.4886541808355671,lean_positive,0.3333333333333333,False,3,3,2,1,0,1,0,0,Cam Carr,sbnation,future_2026_llm_sentence_labels_newer_085033,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,"Carr is drawing interest in the 10-20 range, and he’ll probably go higher than this. || He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing. || I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.",Cam Carr,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,"He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing. || I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.","He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing.",I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,,,,,,,,,,,,,,"He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing. || I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.","He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing.",I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,,,,,,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,,,,,,,,,,,,,,,,"Carr is drawing interest in the 10-20 range, and he’ll probably go higher than this.","Carr is drawing interest in the 10-20 range, and he’ll probably go higher than this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 projections,2026,Zuby Ejiofor,zuby ejiofor,4,2025|2026,espn|nbadraft_net|sbnation|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,0.33836715902810405,0.4319366207836817,positive,1.0,False,10,4,4,0,0,0,0,6,Zuby Ejiofor,espn|nbadraft_net|sbnation,future_2026_llm_sentence_labels_newer_085033|future_2026_llm_sentence_labels_packaged_083357|historical_llm_sentence_labels,https://www.espn.com/nba/story/_/id/48790115/2026-nba-mock-draft-projecting-60-picks-post-combine-peterson-dybantsa-boozer|https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026|https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,"John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan. || While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim. || He moves well for someone who is this strong, and he always showed a strong feel for the game with the Johnnies. || He should be a premium target for every team in the mid-20s.",Zuby Ejiofor,"He moves well for someone who is this strong, and he always showed a strong feel for the game with the Johnnies.","He moves well for someone who is this strong, and he always showed a strong feel for the game with the Johnnies.",,,,,,,,,,,,,"While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim.","While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim.",,,,,,"While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim.","While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim.",,,,,,"John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan.","John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan.",,,,,,,,,,,,,,,,,,,,,,,,,,,"John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan.","John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan.",,,,,,He should be a premium target for every team in the mid-20s.,He should be a premium target for every team in the mid-20s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nbadraft_net
2026 projections,2026,Amari Allen,amari allen,2,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.4363791627220148,0.49209451287482325,no_usable_phrase_tone_available,,True,0,0,0,0,0,0,0,0,,,,,,Amari Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 projections,2026,Luigi Suigo,luigi suigo,2,2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.39569877607118076,0.4232604852490648,no_usable_phrase_tone_available,,True,4,0,0,0,0,0,0,4,Luigi Suigo,nbadraft_net,future_2026_llm_sentence_labels_newer_085033|future_2026_llm_sentence_labels_packaged_083357,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,,Luigi Suigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nbadraft_net
2026 projections,2026,Matt Able,matt able,4,2025|2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,0.4669536326978794,0.49697562670762596,positive,0.6666666666666666,False,4,3,2,0,1,2,0,1,Matt Able,nbadraft_net,historical_llm_sentence_labels,,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",Matt Able,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...","A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...","A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,,,,,,,,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...","A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,"While Able’s game is advanced for his age, he is more functionally athletic than explosively quick … He is a straight-line driver who lacks great shiftiness or change of pace in isolation … Doesn’t have a deep bag of dribble moves to create space one-on-one … Relies on strength and timing more than burst when attack...",,,,,,,,,,,,,,,,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...","A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s... || Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,,,"Able enters NC State with the polish, strength, and mentality to contribute right away … His feel for the game, body control, and two-way reliability make him one of the most college-ready freshmen in the country … If he continues to build confidence as a perimeter shooter and develops more burst off the dribble, he...",,,,,,,,,"A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s...","A well-rounded shooting guard with a strong frame, good balance, and a mature approach that belies his age … Standing 6’5” with an estimated +4 to +5 wingspan, he has the physical tools to match up with NBA wings and the mature feel of a seasoned contributor … His ambidextrous finishing ability sets him apart … He s...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nbadraft_net
2026 projections,2026,Tounde Yessoufou,tounde yessoufou,4,2025|2026,espn|nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction|partial_recent_projection,0.6246908300573893,0.30198635634001464,positive,0.7368421052631579,False,19,19,15,1,3,3,0,0,Tounde Yessoufou,nbadraft_net,historical_llm_sentence_labels,,"6’5 wing … Good length with a 6’8.5 wingspan and big hands … Massive frame with broad shoulders and filled out with strength. || Plays physical, uses his body well and plays through contact. || Draws a lot of fouls and good free throw shooter. || Shot 5.7 free throws per game on 88.2% FT% at the NBPA Top 100 in 2024 … Explosive and powerful athlete. || Gets off the ground very well and doesn’t take much time to load up his jump. || Quick first step … Changes direction and speed well with the ball. || Solid slashing ability and can get to the rim in the half-court. || Can be difficult for defenders to keep him out of the paint … Can bully and post up smaller guards, showing a reliable fadeaway … Efficient scorer.",Tounde Yessoufou,Averaged a 3 rd best 22.4 points per game on 53.6% FG% at the NBPA Top 100 in 2024 … Solid court vision and passing ability … Plays bigger than his height and good rebounder for position on both ends.,Averaged a 3 rd best 22.4 points per game on 53.6% FG% at the NBPA Top 100 in 2024 … Solid court vision and passing ability … Plays bigger than his height and good rebounder for position on both ends.,,,,,,"Draws a lot of fouls and good free throw shooter. || Has room to expand offensive game and perimeter skills as he won’t be as physically superior to his opponents at the next levels as he was throughout high school. || Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he... || Can be content shooting contested jumpers. || Shot 24.3% 3PT% on 4.1 3PT attempts per game at the NBPA Top 100 in 2024 … Older for his class, turned 19 in May of his senior year of high school …",Draws a lot of fouls and good free throw shooter.,"Shot 24.3% 3PT% on 4.1 3PT attempts per game at the NBPA Top 100 in 2024 … Older for his class, turned 19 in May of his senior year of high school …","Has room to expand offensive game and perimeter skills as he won’t be as physically superior to his opponents at the next levels as he was throughout high school. || Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he... || Can be content shooting contested jumpers.",,"Has room to expand offensive game and perimeter skills as he won’t be as physically superior to his opponents at the next levels as he was throughout high school. || Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he... || Can be content shooting contested jumpers.",,"Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he...",,,"Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he...",,"Although he can slash a bit, he isn’t real dynamic or creative as a ball-handler and will need to add more to break down guards at the next levels … Capable of hitting shots off the dribble but can add more consistency to pull-up … Jump shooting form isn’t bad with good ball rotation and while he’s made strides, he...",,"Solid slashing ability and can get to the rim in the half-court. || Can be difficult for defenders to keep him out of the paint … Can bully and post up smaller guards, showing a reliable fadeaway … Efficient scorer.","Solid slashing ability and can get to the rim in the half-court. || Can be difficult for defenders to keep him out of the paint … Can bully and post up smaller guards, showing a reliable fadeaway … Efficient scorer.",,,,,,"6’5 wing … Good length with a 6’8.5 wingspan and big hands … Massive frame with broad shoulders and filled out with strength. || Plays physical, uses his body well and plays through contact. || Shot 5.7 free throws per game on 88.2% FT% at the NBPA Top 100 in 2024 … Explosive and powerful athlete. || Gets off the ground very well and doesn’t take much time to load up his jump. || Quick first step … Changes direction and speed well with the ball.","6’5 wing … Good length with a 6’8.5 wingspan and big hands … Massive frame with broad shoulders and filled out with strength. || Plays physical, uses his body well and plays through contact. || Shot 5.7 free throws per game on 88.2% FT% at the NBPA Top 100 in 2024 … Explosive and powerful athlete. || Gets off the ground very well and doesn’t take much time to load up his jump.",,,,,,,,,,,,,"Averaged 6 (1.8 offensive) rebounds per game at the NBPA Top 100 in 2023 and 8 (3.1 offensive) rebounds per game in 2024 … Physical and versatile defender, can switch, successfully defending up and down the line up, with the quickness to stay in front of guards on the perimeter and showing comfort against much bigge... || Defends well on and off the ball with great anticipation to deflect and jump passes to turn defense into offense. || Averaged 1.3 steals per game at the NBPA Top 100 in 2023 and a 5 th best 1.6 steals per game in 2024. || Blocks shots and disrupts shots when closing out well for position … Plays with good effort and aggression … Has been consistently productive in each setting he’s played in throughout his high school career …","Averaged 6 (1.8 offensive) rebounds per game at the NBPA Top 100 in 2023 and 8 (3.1 offensive) rebounds per game in 2024 … Physical and versatile defender, can switch, successfully defending up and down the line up, with the quickness to stay in front of guards on the perimeter and showing comfort against much bigge... || Defends well on and off the ball with great anticipation to deflect and jump passes to turn defense into offense. || Averaged 1.3 steals per game at the NBPA Top 100 in 2023 and a 5 th best 1.6 steals per game in 2024. || Blocks shots and disrupts shots when closing out well for position … Plays with good effort and aggression … Has been consistently productive in each setting he’s played in throughout his high school career …",,,,,,,,,,,,,,,,,,,,"Blocks shots and disrupts shots when closing out well for position … Plays with good effort and aggression … Has been consistently productive in each setting he’s played in throughout his high school career … || Baylor freshman … Scored 14 points and earned MVP of the 2023 Underclassman All-American Game … Recorded 9 points and 6 steals in the 2025 McDonald’s All-American … Scored 24 points in the 2025 Nike Hoop Summit … 2025 Naismith All-American Honorable Mention … California’s high school all-time leading scorer with 3,4...","Blocks shots and disrupts shots when closing out well for position … Plays with good effort and aggression … Has been consistently productive in each setting he’s played in throughout his high school career … || Baylor freshman … Scored 14 points and earned MVP of the 2023 Underclassman All-American Game … Recorded 9 points and 6 steals in the 2025 McDonald’s All-American … Scored 24 points in the 2025 Nike Hoop Summit … 2025 Naismith All-American Honorable Mention … California’s high school all-time leading scorer with 3,4...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nbadraft_net
2026 projections,2026,Tyler Tanner,tyler tanner,2,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.4302238162902987,0.5009458629087087,no_usable_phrase_tone_available,,True,0,0,0,0,0,0,0,0,,,,,,Tyler Tanner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 projections,2026,Malachi Moreno,malachi moreno,2,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.4279739771842921,0.5041158034689935,no_usable_phrase_tone_available,,True,0,0,0,0,0,0,0,0,,,,,,Malachi Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 projections,2026,Pavle Backo,pavle backo,2,2026,nbadraft_net,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.384544981339033,0.5482821807298237,no_usable_phrase_tone_available,,True,0,0,0,0,0,0,0,0,,,,,,Pavle Backo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 projections,2026,Milan Momcilovic,milan momcilovic,2,2026,espn,pie_minutes_weighted_first5|xrapm_first5_avg,future_prediction,0.42322527681446587,0.5107330486351986,no_usable_phrase_tone_available,,True,0,0,0,0,0,0,0,0,,,,,,Milan Momcilovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
